Population,Line,Pot,Photoperiod,Germination Date,Date First Flower,Days to flowering,Node Leaf coll.,Plant Height (mm),Corolla Length (mm),Corolla Width (mm),Longest Stamen Length (mm),Smallest Stamen Length (mm),Pistil Length (mm),Cleistogamy?,Stigma-anther separation,Anther-anther separation,Leaf lobing index,Notes
QAL,16,A,15h,285,305,20,2,5,10.46,6.69,7.27,6.28,7.74,N,0.47,0.99,0.1483526269,
QAL,16,B,15h,284,305,21,2,8,10.27,5.18,6.6,6.06,7.97,N,1.37,0.54,0.260523322,
SBL,1,A,15h,284,305,21,2,61,11.09,6.09,9.03,8.33,7.6,N,-1.43,0.7,0.06101630279,
SBL,1,B,15h,284,306,22,2,88,12.01,7.66,8.53,7.67,9.08,N,0.55,0.86,0.2746356808,
SBL,1,C,15h,284,304,20,2,66,11.78,6.33,8.68,7.63,8.3,N,-0.38,1.05,0.17,
SBL,2,A,15h,284,306,22,2,59,12.99,6.81,9.21,7.99,8.66,N,-0.55,1.22,0.1433158514,
SBL,2,B,15h,284,306,22,2,82,10.45,7.75,9.3,8.18,7.53,N,-1.77,1.12,0.1513398461,
SBL,2,C,15h,284,304,20,2,55,9.18,5.91,7.43,6.04,8.12,N,0.69,1.39,0.166,
SBL,3,A,15h,284,308,24,2,65,11.57,7.15,8.43,7.8,8.86,N,0.43,0.63,,
SBL,3,B,15h,284,306,22,2,50,12.01,7.72,8.91,7.61,8.69,N,-0.22,1.3,0.1076559637,
SBL,3,C,15h,284,308,24,2,67,14.97,8.45,9.26,8.19,9.27,N,0.01,1.07,0.1797512477,
SBL,4,A,15h,284,306,22,2,79,11.35,6.71,8.45,7.77,7.94,N,-0.51,0.68,0.1877937517,
SBL,4,B,15h,284,312,28,1,50,10.29,6.18,8.36,7.31,8.06,N,-0.3,1.05,0.1202847633,
SBL,4,C,15h,284,306,22,2,66,10.09,5.22,7.8,6.92,6.92,N,-0.88,0.88,0.1834506815,
SBL,5,A,15h,286,307,21,2,70,14.96,9.49,9.2,8.5,10.13,N,0.93,0.7,0.07278401998,
